nps_responses_id,responded_date_id,customer_id,channel_id,nps_response_id,comment,score
1,20240601,1083,1,13000000000,UNKNOWN,10
2,20240311,1383,1,13000000001,Volvería a comprar,5
3,20240411,179,1,13000000002,Atención muy buena,10
4,20240630,566,1,13000000003,Todo perfecto,7
5,20250205,1004,1,13000000004,Atención muy buena,8
6,20250614,1261,1,13000000005,Tardó un poco más de lo esperado,10
7,20240419,1376,1,13000000006,Todo perfecto,6
8,20240703,837,1,13000000007,Volvería a comprar,3
9,20250721,994,1,13000000008,Todo perfecto,7
10,20240413,192,1,13000000009,Entrega rápida y producto excelente,8
11,20241104,1330,1,13000000010,UNKNOWN,6
12,20250703,442,2,13000000011,Atención muy buena,0
13,20250430,57,1,13000000012,Atención muy buena,7
14,20250807,559,1,13000000013,Entrega rápida y producto excelente,8
15,20250416,130,1,13000000014,Muy conforme con la calidad,10
16,20240626,238,2,13000000015,Volvería a comprar,4
17,20250417,629,1,13000000016,Entrega rápida y producto excelente,8
18,20240520,1162,2,13000000017,Entrega rápida y producto excelente,7
19,20241005,80,2,13000000018,Entrega rápida y producto excelente,9
20,20240319,1233,2,13000000019,Muy conforme con la calidad,2
21,20240810,217,1,13000000020,Entrega rápida y producto excelente,2
22,20250819,1015,2,13000000021,Volvería a comprar,5
23,20240408,1086,2,13000000022,Atención muy buena,7
24,20240128,692,1,13000000023,Muy conforme con la calidad,9
25,20241026,960,1,13000000024,Podría mejorar el empaque,6
26,20250330,695,2,13000000025,Volvería a comprar,2
27,20250607,438,1,13000000026,Volvería a comprar,10
28,20250508,564,1,13000000027,Muy conforme con la calidad,9
29,20250525,1261,1,13000000028,Volvería a comprar,7
30,20240610,1122,2,13000000029,Atención muy buena,4
31,20251006,1427,1,13000000030,Muy conforme con la calidad,5
32,20240830,661,1,13000000031,Podría mejorar el empaque,10
33,20250208,1055,2,13000000032,Todo perfecto,8
34,20250308,321,2,13000000033,Podría mejorar el empaque,8
35,20240722,500,1,13000000034,Atención muy buena,10
36,20240618,544,1,13000000035,Volvería a comprar,8
37,20240723,1405,2,13000000036,Atención muy buena,8
38,20240831,952,1,13000000037,Podría mejorar el empaque,5
39,20241229,128,2,13000000038,Entrega rápida y producto excelente,3
40,20250702,342,2,13000000039,Tardó un poco más de lo esperado,8
41,20240521,19,2,13000000040,Podría mejorar el empaque,3
42,20240722,189,1,13000000041,Muy conforme con la calidad,8
43,20250907,797,1,13000000042,Todo perfecto,4
44,20241211,1004,2,13000000043,Entrega rápida y producto excelente,8
45,20250330,426,2,13000000044,Todo perfecto,9
46,20250813,1026,1,13000000045,Muy conforme con la calidad,8
47,20250419,812,2,13000000046,UNKNOWN,7
48,20240313,994,1,13000000047,Entrega rápida y producto excelente,10
49,20250723,1171,2,13000000048,UNKNOWN,10
