payments_id,paid_date_id,order_date_id,customer_id,channel_id,order_id,payment_method,payment_status,transaction_ref,amount
1,20241127,20241126,356,1,1000000000,CARD,PAID,TX-1HW3GM7Q6LFJ,63636.0
2,0,20240131,601,1,1000000001,GATEWAY,PENDING,UNKNOWN,78146.4
3,20250228,20250226,1234,1,1000000002,CARD,PAID,TX-8PBOWVHD7B4I,32064.6
4,20250302,20250301,156,1,1000000003,CARD,PAID,TX-SQ97NPWQ6YK8,30855.0
5,20240401,20240330,616,2,1000000004,CARD,PAID,TX-F7761XS1CXDC,53451.75
6,20240313,20240312,614,2,1000000005,CASH,PAID,TX-RNWJHS1F8G0Y,29040.0
7,20250717,20250715,188,1,1000000006,CARD,REFUNDED,TX-X2AJGZ36N3FR,18442.5
8,20241114,20241111,17,1,1000000007,CARD,PAID,TX-ZRHVYPGQTDRK,17535.0
9,20240825,20240825,1148,1,1000000008,CARD,PAID,TX-CHL80ZD8IP5O,109011.0
10,20240331,20240330,1037,1,1000000009,GATEWAY,PAID,TX-J2VP8C6ROCZQ,16718.25
11,20240314,20240313,1336,2,1000000010,TRANSFER,REFUNDED,TX-1UN1COQAVK65,17787.0
12,20250617,20250617,1239,2,1000000011,CASH,PAID,TX-U5CXUHGK42O6,41309.4
13,20240812,20240809,1426,2,1000000012,CARD,PAID,TX-GS664FN80M9E,42688.8
14,20250323,20250323,862,2,1000000013,CASH,PAID,TX-BZOPSO6JPRZD,123283.88
15,20250820,20250818,181,1,1000000014,CARD,PAID,TX-AD0J2NGELHNC,15129.6
16,0,20240915,700,1,1000000015,CARD,FAILED,UNKNOWN,29659.2
17,20250829,20250827,475,1,1000000016,GATEWAY,PAID,TX-Y2BIADVO9F18,28642.8
18,20250220,20250219,753,2,1000000017,CARD,PAID,TX-O7MTCOYJ61AJ,80912.7
19,0,20240714,1151,1,1000000018,GATEWAY,FAILED,UNKNOWN,100107.9
20,20250423,20250421,793,1,1000000019,CARD,PAID,TX-EMS8E80975XQ,46023.24
21,20240506,20240506,866,1,1000000020,CARD,PAID,TX-EZKXQ80I4527,59895.0
22,20250925,20250923,1110,1,1000000021,CARD,PAID,TX-BE5NW8R3MU50,29659.2
23,20240402,20240331,854,2,1000000022,TRANSFER,REFUNDED,TX-I1Q2G15R83Y7,29040.0
24,20250708,20250705,379,2,1000000023,CASH,PAID,TX-3TFFR8COO0FP,82764.0
25,20250303,20250302,441,2,1000000024,CARD,PAID,TX-91AAY0A1V9Q3,14229.6
26,20250827,20250826,125,1,1000000025,CARD,PAID,TX-SVYYRKPOYWM4,86005.88
27,20241215,20241212,1201,1,1000000026,CARD,PAID,TX-9O9IH4O8JG78,17535.0
28,20241202,20241202,1055,1,1000000027,CARD,PAID,TX-C245O7O7GRI9,28488.0
29,20240518,20240517,382,1,1000000028,CARD,PAID,TX-J6HQJG5HEW5S,14520.0
30,20250914,20250914,1456,1,1000000029,CARD,PAID,TX-DRZ2QYPBHF3H,79235.4
31,20250611,20250609,1377,2,1000000030,CARD,PAID,TX-13PMNCYBLOP6,41382.0
32,20250513,20250510,1375,2,1000000031,CASH,PAID,TX-PFV0D0IML4NF,28459.2
33,20250316,20250315,821,1,1000000032,CARD,PAID,TX-UM2KN2XHQSHB,33870.0
34,20240608,20240608,1475,2,1000000033,CASH,PAID,TX-PO2UBATPZ00H,17787.0
35,20241119,20241117,634,2,1000000034,CASH,PAID,TX-922WAHDO61XN,103318.88
36,20240113,20240112,585,2,1000000035,CARD,PAID,TX-Y8T15028LSUX,26136.0
37,20240926,20240924,180,1,1000000036,CARD,PAID,TX-WSO0CISUVYK2,61158.0
38,20240127,20240126,482,1,1000000037,CARD,PAID,TX-VCRJJP6E0CCG,31082.16
39,20240202,20240202,620,2,1000000038,CARD,PAID,TX-DIL01AV2R2A9,14229.6
40,20240523,20240523,603,2,1000000039,CARD,PAID,TX-GO2N5MUY0V3U,71583.6
41,0,20240304,1028,1,1000000040,CARD,FAILED,UNKNOWN,14994.0
42,20240115,20240114,1005,2,1000000041,CASH,PAID,TX-B543BB9H5C7R,29657.1
43,20240928,20240927,790,1,1000000042,GATEWAY,PAID,TX-X79V37PRDDTB,13914.6
44,20240522,20240521,665,1,1000000043,CARD,PAID,TX-3MPXSV4DAUND,48816.0
45,20250905,20250902,562,1,1000000044,GATEWAY,PAID,TX-4JUJUM3AY4L6,90435.0
46,20240203,20240201,998,1,1000000045,GATEWAY,PAID,TX-6G4YWKOODVMB,44460.0
47,20240115,20240112,276,1,1000000046,CARD,PAID,TX-OAGVE3OT79YR,39930.0
