sales_id,order_date_id,customer_id,product_id,channel_id,store_id,billing_location_id,shipment_location_id,order_id,order_item_id,order_status,currency_code,quantity,unit_price,discount_amount,line_total
1,20241126,356,2,1,0,1914,599,1000000000,5000000000,FULFILLED,ARS,2,15000.0,0.0,30000.0
2,20241126,356,1,1,0,1914,599,1000000000,5000000001,FULFILLED,ARS,2,12000.0,2400.0,21600.0
3,20240131,601,1,1,0,2807,2538,1000000001,5000000002,CREATED,ARS,1,12000.0,240.0,11760.0
4,20240131,601,2,1,0,2807,2538,1000000001,5000000003,CREATED,ARS,2,15000.0,600.0,29400.0
5,20240131,601,1,1,0,2807,2538,1000000001,5000000004,CREATED,ARS,2,12600.0,2520.0,22680.0
6,20250226,1234,1,1,0,130,3067,1000000002,5000000005,FULFILLED,ARS,1,12000.0,240.0,11760.0
7,20250226,1234,2,1,0,130,3067,1000000002,5000000006,FULFILLED,ARS,1,15000.0,1500.0,13500.0
8,20250301,156,1,1,0,2669,511,1000000003,5000000007,FULFILLED,ARS,1,12000.0,1200.0,10800.0
9,20250301,156,2,1,0,2669,511,1000000003,5000000008,FULFILLED,ARS,1,15000.0,300.0,14700.0
10,20240330,616,2,2,4,297,4,1000000004,5000000009,FULFILLED,ARS,2,15750.0,1575.0,29925.0
11,20240330,616,2,2,4,297,4,1000000004,5000000010,FULFILLED,ARS,1,15000.0,750.0,14250.0
12,20240312,614,1,2,2,727,2,1000000005,5000000011,FULFILLED,ARS,2,12000.0,0.0,24000.0
13,20250715,188,2,1,0,436,1152,1000000006,5000000012,REFUNDED,ARS,1,15000.0,750.0,14250.0
14,20241111,17,2,1,0,0,2581,1000000007,5000000013,FULFILLED,ARS,1,15000.0,1500.0,13500.0
15,20240825,1148,1,1,0,1022,494,1000000008,5000000014,FULFILLED,ARS,3,12000.0,0.0,36000.0
16,20240825,1148,2,1,0,1022,494,1000000008,5000000015,FULFILLED,ARS,3,15000.0,4500.0,40500.0
17,20240825,1148,1,1,0,1022,494,1000000008,5000000016,FULFILLED,ARS,1,12600.0,0.0,12600.0
18,20240330,1037,2,1,0,101,978,1000000009,5000000017,PAID,ARS,1,13500.0,675.0,12825.0
19,20240313,1336,2,2,1,0,1,1000000010,5000000018,REFUNDED,ARS,1,15000.0,300.0,14700.0
20,20250617,1239,2,2,4,1163,4,1000000011,5000000019,FULFILLED,ARS,1,15000.0,300.0,14700.0
21,20250617,1239,1,2,4,1163,4,1000000011,5000000020,FULFILLED,ARS,2,10800.0,2160.0,19440.0
22,20240809,1426,1,2,3,2393,3,1000000012,5000000021,FULFILLED,ARS,3,12000.0,720.0,35280.0
23,20250323,862,2,2,1,346,1,1000000013,5000000022,PAID,ARS,3,15750.0,2362.5,44887.5
24,20250323,862,1,2,1,346,1,1000000013,5000000023,PAID,ARS,3,12000.0,1800.0,34200.0
25,20250323,862,1,2,1,346,1,1000000013,5000000024,PAID,ARS,2,12000.0,1200.0,22800.0
26,20250818,181,1,1,0,1242,2921,1000000014,5000000025,PAID,ARS,1,12000.0,240.0,11760.0
27,20240915,700,1,1,0,2272,807,1000000015,5000000026,CANCELLED,ARS,2,12000.0,480.0,23520.0
28,20250827,475,1,1,0,589,2562,1000000016,5000000027,FULFILLED,ARS,2,12600.0,2520.0,22680.0
29,20250219,753,2,2,2,2056,2,1000000017,5000000028,FULFILLED,ARS,2,15750.0,630.0,30870.0
30,20250219,753,1,2,2,2056,2,1000000017,5000000029,FULFILLED,ARS,3,12000.0,0.0,36000.0
31,20240714,1151,2,1,0,1716,1695,1000000018,5000000030,CANCELLED,ARS,1,13500.0,270.0,13230.0
32,20240714,1151,1,1,0,1716,1695,1000000018,5000000031,CANCELLED,ARS,2,13200.0,2640.0,23760.0
33,20240714,1151,2,1,0,1716,1695,1000000018,5000000032,CANCELLED,ARS,3,15000.0,0.0,45000.0
34,20250421,793,1,1,0,1527,2616,1000000019,5000000033,FULFILLED,ARS,3,12600.0,756.0,37044.0
35,20240506,866,2,1,0,2937,2378,1000000020,5000000034,FULFILLED,ARS,3,16500.0,0.0,49500.0
36,20250923,1110,1,1,0,2250,1549,1000000021,5000000035,FULFILLED,ARS,2,12000.0,480.0,23520.0
37,20240331,854,1,2,1,1466,1,1000000022,5000000036,REFUNDED,ARS,2,12000.0,0.0,24000.0
38,20250705,379,2,2,3,2102,3,1000000023,5000000037,FULFILLED,ARS,2,15000.0,600.0,29400.0
39,20250705,379,1,2,3,2102,3,1000000023,5000000038,FULFILLED,ARS,1,12000.0,0.0,12000.0
40,20250705,379,2,2,3,2102,3,1000000023,5000000039,FULFILLED,ARS,2,15000.0,3000.0,27000.0
41,20250302,441,1,2,2,532,2,1000000024,5000000040,FULFILLED,ARS,1,12000.0,240.0,11760.0
42,20250826,125,2,1,0,1985,516,1000000025,5000000041,FULFILLED,ARS,3,15750.0,2362.5,44887.5
43,20250826,125,1,1,0,1985,516,1000000025,5000000042,FULFILLED,ARS,2,12600.0,0.0,25200.0
44,20241212,1201,2,1,0,3168,301,1000000026,5000000043,FULFILLED,ARS,1,15000.0,1500.0,13500.0
45,20241202,1055,1,1,0,2325,1862,1000000027,5000000044,FULFILLED,ARS,2,12000.0,1200.0,22800.0
46,20240517,382,1,1,0,342,1423,1000000028,5000000045,FULFILLED,ARS,1,12000.0,0.0,12000.0
47,20250914,1456,2,1,0,414,1425,1000000029,5000000046,FULFILLED,ARS,2,16500.0,660.0,32340.0
48,20250914,1456,1,1,0,414,1425,1000000029,5000000047,FULFILLED,ARS,3,12000.0,3600.0,32400.0
49,20250609,1377,1,2,4,2585,4,1000000030,5000000048,PAID,ARS,3,12000.0,1800.0,34200.0
50,20250510,1375,1,2,4,928,4,1000000031,5000000049,PAID,ARS,2,12000.0,480.0,23520.0
51,20250315,821,2,1,0,2185,924,1000000032,5000000050,FULFILLED,ARS,2,15000.0,3000.0,27000.0
52,20240608,1475,2,2,4,2316,4,1000000033,5000000051,FULFILLED,ARS,1,15000.0,300.0,14700.0
53,20241117,634,2,2,2,1160,2,1000000034,5000000052,FULFILLED,ARS,3,15750.0,2362.5,44887.5
54,20241117,634,2,2,2,1160,2,1000000034,5000000053,FULFILLED,ARS,3,15000.0,4500.0,40500.0
55,20240112,585,1,2,1,2440,1,1000000035,5000000054,FULFILLED,ARS,2,12000.0,2400.0,21600.0
56,20240924,180,1,1,0,3142,1863,1000000036,5000000055,FULFILLED,ARS,2,12000.0,1200.0,22800.0
57,20240924,180,2,1,0,3142,1863,1000000036,5000000056,FULFILLED,ARS,2,15000.0,3000.0,27000.0
58,20240126,482,1,1,0,1548,2325,1000000037,5000000057,FULFILLED,ARS,2,12600.0,504.0,24696.0
59,20240202,620,1,2,1,307,1,1000000038,5000000058,FULFILLED,ARS,1,12000.0,240.0,11760.0
60,20240523,603,1,2,1,3134,1,1000000039,5000000059,FULFILLED,ARS,3,10800.0,3240.0,29160.0
61,20240523,603,2,2,1,3134,1,1000000039,5000000060,FULFILLED,ARS,2,15000.0,0.0,30000.0
62,20240304,1028,1,1,0,2288,1149,1000000040,5000000061,CANCELLED,ARS,1,12000.0,600.0,11400.0
63,20240114,1005,2,2,3,0,3,1000000041,5000000062,FULFILLED,ARS,1,15000.0,750.0,14250.0
64,20240114,1005,1,2,3,0,3,1000000041,5000000063,FULFILLED,ARS,1,10800.0,540.0,10260.0
65,20240927,790,1,1,0,742,33,1000000042,5000000064,FULFILLED,ARS,1,10800.0,540.0,10260.0
66,20240521,665,1,1,0,2230,2043,1000000043,5000000065,PAID,ARS,3,13200.0,0.0,39600.0
67,20250902,562,2,1,0,0,1135,1000000044,5000000066,FULFILLED,ARS,2,15000.0,600.0,29400.0
68,20250902,562,2,1,0,0,1135,1000000044,5000000067,FULFILLED,ARS,3,15000.0,900.0,44100.0
69,20240201,998,1,1,0,2030,1984,1000000045,5000000068,FULFILLED,ARS,3,12000.0,0.0,36000.0
70,20240112,276,2,1,0,0,493,1000000046,5000000069,FULFILLED,ARS,2,16500.0,0.0,33000.0
71,20240308,1469,1,2,2,0,2,1000000047,5000000070,FULFILLED,ARS,1,12000.0,1200.0,10800.0
72,20240913,408,1,2,2,2369,2,1000000048,5000000071,CREATED,ARS,2,12000.0,480.0,23520.0
73,20240811,1360,2,2,2,178,2,1000000049,5000000072,FULFILLED,ARS,3,13500.0,0.0,40500.0
74,20240725,1423,2,1,0,1107,665,1000000050,5000000073,FULFILLED,ARS,2,15000.0,1500.0,28500.0
75,20240915,741,2,1,0,1344,1867,1000000051,5000000074,FULFILLED,ARS,2,15750.0,630.0,30870.0
76,20241104,969,1,1,0,0,1612,1000000052,5000000075,FULFILLED,ARS,3,12000.0,720.0,35280.0
77,20241104,969,1,1,0,0,1612,1000000052,5000000076,FULFILLED,ARS,3,12000.0,720.0,35280.0
78,20240810,729,2,1,0,2599,458,1000000053,5000000077,CANCELLED,ARS,2,15000.0,3000.0,27000.0
79,20240316,251,1,2,4,2469,4,1000000054,5000000078,PAID,ARS,1,12600.0,252.0,12348.0
80,20250723,1087,2,2,1,2309,1,1000000055,5000000079,PAID,ARS,3,15000.0,2250.0,42750.0
81,20250412,659,1,1,0,2450,1891,1000000056,5000000080,FULFILLED,ARS,2,12000.0,0.0,24000.0
82,20250412,659,2,1,0,2450,1891,1000000056,5000000081,FULFILLED,ARS,3,16500.0,2475.0,47025.0
83,20250221,338,2,2,4,630,4,1000000057,5000000082,FULFILLED,ARS,1,15000.0,750.0,14250.0
84,20250221,338,2,2,4,630,4,1000000057,5000000083,FULFILLED,ARS,1,15750.0,1575.0,14175.0
85,20240921,1068,2,1,0,3,2075,1000000058,5000000084,CANCELLED,ARS,1,16500.0,1650.0,14850.0
86,20240921,1068,2,1,0,3,2075,1000000058,5000000085,CANCELLED,ARS,2,15000.0,1500.0,28500.0
87,20240701,958,1,1,0,1977,2539,1000000059,5000000086,FULFILLED,ARS,3,12000.0,1800.0,34200.0
88,20240701,958,2,1,0,1977,2539,1000000059,5000000087,FULFILLED,ARS,2,15000.0,0.0,30000.0
89,20240225,428,1,2,4,337,4,1000000060,5000000088,CANCELLED,ARS,3,10800.0,3240.0,29160.0
90,20250301,1337,1,1,0,298,88,1000000061,5000000089,FULFILLED,ARS,1,12000.0,0.0,12000.0
91,20241223,1442,2,2,3,696,3,1000000062,5000000090,FULFILLED,ARS,3,15000.0,0.0,45000.0
92,20240530,939,1,1,0,3172,410,1000000063,5000000091,FULFILLED,ARS,3,12600.0,756.0,37044.0
93,20250304,1409,2,1,0,3175,311,1000000064,5000000092,FULFILLED,ARS,1,16500.0,1650.0,14850.0
94,20240917,1062,1,1,0,2637,1403,1000000065,5000000093,FULFILLED,ARS,3,12000.0,720.0,35280.0
95,20240126,988,1,1,0,1191,138,1000000066,5000000094,CANCELLED,ARS,3,12000.0,720.0,35280.0
96,20250411,778,2,1,0,1602,1252,1000000067,5000000095,REFUNDED,ARS,1,15000.0,300.0,14700.0
97,20241201,77,2,1,0,1747,624,1000000068,5000000096,PAID,ARS,1,15750.0,315.0,15435.0
98,20241201,77,1,1,0,1747,624,1000000068,5000000097,PAID,ARS,2,12000.0,0.0,24000.0
99,20241201,77,2,1,0,1747,624,1000000068,5000000098,PAID,ARS,3,15000.0,0.0,45000.0
100,20240612,700,2,1,0,1472,480,1000000069,5000000099,FULFILLED,ARS,3,15000.0,900.0,44100.0
101,20250725,425,1,1,0,2747,432,1000000070,5000000100,PAID,ARS,1,12000.0,0.0,12000.0
102,20240722,1271,1,2,3,1522,3,1000000071,5000000101,FULFILLED,ARS,1,12000.0,240.0,11760.0
