shipments_id,shipped_date_id,delivered_date_id,order_date_id,costumer_id,shipment_location_id,order_id,carrier,tracking_number,shipment_status,delivery_time_days
1,20241127,20241130,20241126,356,599,1000000000,Correo Argentino,TRK-LM6S0ZIUQ6,DELIVERED,3.0
2,20240201,20240205,20240131,601,2538,1000000001,Correo Argentino,TRK-S7JYRIGG48,READY,4.0
3,20250227,20250301,20250226,1234,3067,1000000002,Correo Argentino,TRK-YI8R5NTIPW,DELIVERED,2.0
4,20250302,20250306,20250301,156,511,1000000003,Correo Argentino,TRK-UWNN6LXYNU,DELIVERED,4.0
5,20240330,20240331,20240330,616,4,1000000004,PICKUP,UNKNOWN,DELIVERED,1.0
6,20240312,20240313,20240312,614,2,1000000005,PICKUP,UNKNOWN,DELIVERED,1.0
7,20250716,20250720,20250715,188,1152,1000000006,Correo Argentino,TRK-UCA7R6D2X6,DELIVERED,4.0
8,20241112,20241115,20241111,17,2581,1000000007,Correo Argentino,TRK-EEAFDZHDID,DELIVERED,3.0
9,20240826,20240828,20240825,1148,494,1000000008,Correo Argentino,TRK-99ZZCRAXY6,DELIVERED,2.0
10,20240331,20240403,20240330,1037,978,1000000009,Correo Argentino,TRK-M4QI31HO4X,SHIPPED,3.0
11,20240313,20240314,20240313,1336,1,1000000010,PICKUP,UNKNOWN,DELIVERED,1.0
12,20250617,20250618,20250617,1239,4,1000000011,PICKUP,UNKNOWN,DELIVERED,1.0
13,20240809,20240810,20240809,1426,3,1000000012,PICKUP,UNKNOWN,DELIVERED,1.0
14,20250323,20250324,20250323,862,1,1000000013,PICKUP,UNKNOWN,SHIPPED,1.0
15,20250819,20250824,20250818,181,2921,1000000014,Correo Argentino,TRK-TEL745CSF0,SHIPPED,5.0
16,0,0,20240915,700,807,1000000015,Correo Argentino,UNKNOWN,CANCELLED,0.0
17,20250828,20250902,20250827,475,2562,1000000016,Correo Argentino,TRK-2QJED48Q5H,DELIVERED,5.0
18,20250219,20250220,20250219,753,2,1000000017,PICKUP,UNKNOWN,DELIVERED,1.0
19,0,0,20240714,1151,1695,1000000018,Correo Argentino,UNKNOWN,CANCELLED,0.0
20,20250422,20250426,20250421,793,2616,1000000019,Correo Argentino,TRK-LU2ZLGLEOH,DELIVERED,4.0
21,20240507,20240511,20240506,866,2378,1000000020,Correo Argentino,TRK-UD7KW642LM,DELIVERED,4.0
22,20250924,20250926,20250923,1110,1549,1000000021,Correo Argentino,TRK-4588YSVCZA,DELIVERED,2.0
23,20240331,20240401,20240331,854,1,1000000022,PICKUP,UNKNOWN,DELIVERED,1.0
24,20250705,20250706,20250705,379,3,1000000023,PICKUP,UNKNOWN,DELIVERED,1.0
25,20250302,20250303,20250302,441,2,1000000024,PICKUP,UNKNOWN,DELIVERED,1.0
26,20250827,20250831,20250826,125,516,1000000025,Correo Argentino,TRK-YJMLEQMJ1S,DELIVERED,4.0
27,20241213,20241216,20241212,1201,301,1000000026,Correo Argentino,TRK-IWZB9131BN,DELIVERED,3.0
28,20241203,20241206,20241202,1055,1862,1000000027,Correo Argentino,TRK-F7ZF8SQ633,DELIVERED,3.0
29,20240518,20240522,20240517,382,1423,1000000028,Correo Argentino,TRK-NW8EX6WAQP,DELIVERED,4.0
30,20250915,20250920,20250914,1456,1425,1000000029,Correo Argentino,TRK-SNH0E9H2BV,DELIVERED,5.0
31,20250609,20250610,20250609,1377,4,1000000030,PICKUP,UNKNOWN,SHIPPED,1.0
32,20250510,20250511,20250510,1375,4,1000000031,PICKUP,UNKNOWN,SHIPPED,1.0
33,20250316,20250318,20250315,821,924,1000000032,Correo Argentino,TRK-AF3QHYH0G0,DELIVERED,2.0
34,20240608,20240609,20240608,1475,4,1000000033,PICKUP,UNKNOWN,DELIVERED,1.0
35,20241117,20241118,20241117,634,2,1000000034,PICKUP,UNKNOWN,DELIVERED,1.0
36,20240112,20240113,20240112,585,1,1000000035,PICKUP,UNKNOWN,DELIVERED,1.0
37,20240925,20240928,20240924,180,1863,1000000036,Correo Argentino,TRK-JI1IJOL9GD,DELIVERED,3.0
38,20240127,20240131,20240126,482,2325,1000000037,Correo Argentino,TRK-B103OLM2ZZ,DELIVERED,4.0
39,20240202,20240203,20240202,620,1,1000000038,PICKUP,UNKNOWN,DELIVERED,1.0
40,20240523,20240524,20240523,603,1,1000000039,PICKUP,UNKNOWN,DELIVERED,1.0
41,0,0,20240304,1028,1149,1000000040,Correo Argentino,UNKNOWN,CANCELLED,0.0
42,20240114,20240115,20240114,1005,3,1000000041,PICKUP,UNKNOWN,DELIVERED,1.0
43,20240928,20240930,20240927,790,33,1000000042,Correo Argentino,TRK-T6YEYXIY47,DELIVERED,2.0
44,20240522,20240527,20240521,665,2043,1000000043,Correo Argentino,TRK-4BKBFC142A,SHIPPED,5.0
45,20250903,20250905,20250902,562,1135,1000000044,Correo Argentino,TRK-OE8JOVHWT3,DELIVERED,2.0
46,20240202,20240207,20240201,998,1984,1000000045,Correo Argentino,TRK-78RSWE9YNS,DELIVERED,5.0
47,20240113,20240117,20240112,276,493,1000000046,Correo Argentino,TRK-ENFRRYBCN7,DELIVERED,4.0
48,20240308,20240309,20240308,1469,2,1000000047,PICKUP,UNKNOWN,DELIVERED,1.0
49,20240913,20240914,20240913,408,2,1000000048,PICKUP,UNKNOWN,READY,1.0
50,20240811,20240812,20240811,1360,2,1000000049,PICKUP,UNKNOWN,DELIVERED,1.0
51,20240726,20240730,20240725,1423,665,1000000050,Correo Argentino,TRK-2UFL9MQ11P,DELIVERED,4.0
52,20240916,20240919,20240915,741,1867,1000000051,Correo Argentino,TRK-TL9JNTSSQA,DELIVERED,3.0
53,20241105,20241107,20241104,969,1612,1000000052,Correo Argentino,TRK-RK6C2JA3AN,DELIVERED,2.0
54,0,0,20240810,729,458,1000000053,Correo Argentino,UNKNOWN,CANCELLED,0.0
55,20240316,20240317,20240316,251,4,1000000054,PICKUP,UNKNOWN,SHIPPED,1.0
56,20250723,20250724,20250723,1087,1,1000000055,PICKUP,UNKNOWN,SHIPPED,1.0
57,20250413,20250416,20250412,659,1891,1000000056,Correo Argentino,TRK-F94E82XEU7,DELIVERED,3.0
58,20250221,20250222,20250221,338,4,1000000057,PICKUP,UNKNOWN,DELIVERED,1.0
59,0,0,20240921,1068,2075,1000000058,Correo Argentino,UNKNOWN,CANCELLED,0.0
60,20240702,20240707,20240701,958,2539,1000000059,Correo Argentino,TRK-GYMRRQSRNH,DELIVERED,5.0
61,0,0,20240225,428,4,1000000060,PICKUP,UNKNOWN,CANCELLED,0.0
62,20250302,20250305,20250301,1337,88,1000000061,Correo Argentino,TRK-1JVAA08D71,DELIVERED,3.0
63,20241223,20241224,20241223,1442,3,1000000062,PICKUP,UNKNOWN,DELIVERED,1.0
64,20240531,20240602,20240530,939,410,1000000063,Correo Argentino,TRK-4QRWG4O3VS,DELIVERED,2.0
65,20250305,20250307,20250304,1409,311,1000000064,Correo Argentino,TRK-GHR4X51MO5,DELIVERED,2.0
66,20240918,20240922,20240917,1062,1403,1000000065,Correo Argentino,TRK-Y0WLIWLAP3,DELIVERED,4.0
67,0,0,20240126,988,138,1000000066,Correo Argentino,UNKNOWN,CANCELLED,0.0
68,20250412,20250417,20250411,778,1252,1000000067,Correo Argentino,TRK-WPHKOKPY98,DELIVERED,5.0
69,20241202,20241205,20241201,77,624,1000000068,Correo Argentino,TRK-95ADJ6QXJ8,SHIPPED,3.0
70,20240613,20240618,20240612,700,480,1000000069,Correo Argentino,TRK-75UERJVV88,DELIVERED,5.0
71,20250726,20250730,20250725,425,432,1000000070,Correo Argentino,TRK-SHAJ4MH7LK,SHIPPED,4.0
72,20240722,20240723,20240722,1271,3,1000000071,PICKUP,UNKNOWN,DELIVERED,1.0
73,20240203,20240208,20240202,1129,2540,1000000072,Correo Argentino,TRK-NH83FI4OJA,SHIPPED,5.0
74,20241208,20241211,20241207,1224,1123,1000000073,Correo Argentino,TRK-3BTEYU6C8K,SHIPPED,3.0
75,20241215,20241221,20241214,446,2068,1000000074,Correo Argentino,TRK-NQPTS0MMBB,DELIVERED,6.0
76,20250323,20250327,20250322,867,2685,1000000075,Correo Argentino,TRK-A7O7MMZ1H4,DELIVERED,4.0
