web_session_id,session_start_date_id,customer_id,source,device
1,20240202,791,ads,desktop
2,20250726,332,direct,desktop
3,20240604,0,email,mobile
4,20240324,771,ads,mobile
5,20240822,908,direct,mobile
6,20240322,1222,referral,mobile
7,20241003,490,ads,mobile
8,20241011,705,ads,mobile
9,20250311,1161,direct,mobile
10,20240430,841,ads,mobile
11,20250424,0,referral,mobile
12,20240209,162,social,mobile
13,20240305,0,social,mobile
14,20250914,1477,ads,mobile
15,20240612,0,social,mobile
16,20250828,60,ads,desktop
17,20240322,520,direct,mobile
18,20241102,0,email,desktop
19,20240406,0,direct,mobile
20,20240607,0,ads,desktop
21,20240528,575,direct,mobile
22,20250427,508,direct,desktop
23,20250118,0,ads,mobile
24,20240617,0,ads,desktop
25,20240811,99,direct,mobile
26,20250424,1277,ads,mobile
27,20240102,0,direct,mobile
28,20250503,95,direct,tablet
29,20250326,1286,direct,mobile
30,20240307,1176,direct,mobile
31,20241001,1053,ads,desktop
32,20240727,290,ads,mobile
33,20240117,357,direct,mobile
34,20240105,391,ads,mobile
35,20250830,830,direct,desktop
36,20250722,1076,ads,desktop
37,20240719,0,referral,mobile
38,20250109,622,email,desktop
39,20250509,990,social,mobile
40,20250415,902,direct,desktop
41,20250723,572,direct,mobile
42,20240122,1088,direct,mobile
43,20241109,1101,referral,mobile
44,20240531,833,direct,mobile
45,20240603,0,ads,mobile
46,20241228,1371,direct,mobile
47,20240628,1090,direct,mobile
48,20250219,250,direct,mobile
49,20250807,135,direct,desktop
50,20241124,334,direct,mobile
51,20250807,779,direct,mobile
52,20240124,1396,email,desktop
53,20240315,0,ads,mobile
54,20250624,0,direct,mobile
55,20250329,732,direct,mobile
56,20250611,1267,ads,desktop
57,20241129,298,direct,mobile
58,20241019,933,ads,mobile
59,20240225,550,email,desktop
60,20240501,0,direct,mobile
61,20250617,342,social,mobile
62,20240109,568,referral,mobile
63,20240823,498,email,tablet
64,20250213,0,ads,mobile
65,20250805,1109,direct,desktop
66,20240718,1211,ads,mobile
67,20241227,1443,direct,mobile
68,20241001,811,email,desktop
69,20250811,1160,direct,desktop
70,20240330,455,direct,mobile
71,20240608,601,direct,mobile
72,20240831,431,ads,mobile
73,20240412,0,ads,desktop
74,20250909,80,ads,mobile
75,20240315,0,referral,mobile
76,20241207,859,direct,mobile
77,20250319,0,social,mobile
78,20240903,0,referral,desktop
79,20240220,233,ads,mobile
80,20240219,1176,direct,desktop
81,20250723,0,direct,mobile
82,20250707,0,social,desktop
83,20240924,181,direct,mobile
84,20240406,1064,ads,mobile
85,20250608,166,direct,mobile
86,20240531,1230,referral,mobile
